2026-05-19 07:05:09.109 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2583 ---
2026-05-19 07:05:09.162 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 07:05:09.878 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P @0.0053BTC (-83%) | AY26-68000-P @0.0002BTC (+80%)] | balance=$1638.56 | PnL=$+1238.50 | margin=$1600
2026-05-19 07:05:09.878 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 07:10:09.879 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2584 ---
2026-05-19 07:10:09.886 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 07:10:10.620 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=2 | [AY26-71000-P @0.0052BTC (-79%) | AY26-68000-P @0.0002BTC (+80%)] | balance=$1638.56 | PnL=$+1238.50 | margin=$1600
2026-05-19 07:10:10.621 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 07:15:10.621 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2585 ---
2026-05-19 07:15:10.625 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 07:15:11.029 | INFO     | strategies.theta_farming:should_close_position:473 - THETA PROFIT LOCK: BTC-22MAY26-68000-P mark=0.00010BTC <= lock=0.00020BTC | ganancia 90%
2026-05-19 07:15:11.174 | INFO     | core.deribit_session_manager:close_position:255 - OPTIONS POSITION CLOSED: BTC-22MAY26-68000-P | reason=PROFIT_LOCK | PnL=$+70.20 (+9.01%)
2026-05-19 07:15:11.590 | INFO     | agents.options_agent:_monitor_open_positions:267 - MONITOR CLOSE: BTC-22MAY26-68000-P | PROFIT_LOCK | PnL=$+70.20
2026-05-19 07:15:11.729 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=1 | [AY26-71000-P @0.0051BTC (-76%)] | balance=$2487.89 | PnL=$+1308.70 | margin=$821
2026-05-19 07:15:11.730 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 07:20:11.732 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2586 ---
2026-05-19 07:20:11.735 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-05-19 07:20:12.196 | INFO     | agents.options_agent:run_cycle:154 - OPTIONS CYCLE END | open=1 | [AY26-71000-P @0.0050BTC (-72%)] | balance=$2487.89 | PnL=$+1308.70 | margin=$821
2026-05-19 07:20:12.196 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-05-19 07:25:12.196 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2587 ---
2026-05-19 07:25:12.201 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
