2026-06-04 06:20:26.363 | INFO     | __main__:main:53 - OPTIONS AGENT v2.0.0 (BTC) — STARTING
2026-06-04 06:20:29.074 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #1 ---
2026-06-04 06:20:29.878 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 06:20:29.909 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 06:20:30.981 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 06:25:30.989 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #2 ---
2026-06-04 06:25:30.995 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 06:25:30.997 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 06:25:31.444 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 06:30:31.450 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #3 ---
2026-06-04 06:30:31.454 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 06:30:31.456 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 06:30:31.912 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 06:35:31.920 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #4 ---
2026-06-04 06:35:31.925 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 06:35:31.929 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 06:35:32.380 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 06:40:32.382 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #5 ---
2026-06-04 06:40:32.389 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 06:40:32.393 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 06:40:32.818 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 06:45:32.819 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #6 ---
2026-06-04 06:45:32.832 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 06:45:32.840 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 06:45:33.294 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 06:50:33.295 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #7 ---
2026-06-04 06:50:33.298 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 06:50:33.299 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 06:50:33.700 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 06:55:33.701 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #8 ---
2026-06-04 06:55:33.704 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 06:55:33.712 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
2026-06-04 06:55:34.126 | INFO     | __main__:main:117 - Esperando 300s hasta próximo ciclo...
2026-06-04 07:00:34.126 | INFO     | __main__:main:69 - --- OPTIONS CYCLE #9 ---
2026-06-04 07:00:34.131 | INFO     | agents.options_agent:run_cycle:92 - OPTIONS CYCLE START | session=OPTIONS_SESSION_001 | mode=paper
2026-06-04 07:00:34.133 | WARNING  | core.deribit_session_manager:check_drawdown_halt:385 - OPTIONS DRAWDOWN HALT: 30.7% >= 30% | PnL=$-613.60
