2026-04-25 06:00:33.236 | INFO     | core.poly_strategy_hub:_init_strategies:69 - POLY HUB: SignalBasedPolyStrategy loaded
2026-04-25 06:00:33.248 | INFO     | core.poly_strategy_hub:_init_strategies:78 - POLY HUB: TailEndPolyStrategy loaded
2026-04-25 06:00:33.259 | INFO     | core.poly_strategy_hub:_init_strategies:87 - POLY HUB: LateEntryPolyStrategy loaded
2026-04-25 06:00:33.292 | INFO     | core.poly_strategy_hub:_init_strategies:96 - POLY HUB: LeggedArbPolyStrategy loaded
2026-04-25 06:00:33.399 | INFO     | core.poly_strategy_hub:_init_strategies:105 - POLY HUB: CombinatorialArbPolyStrategy loaded
2026-04-25 06:00:33.399 | INFO     | core.poly_strategy_hub:_init_strategies:109 - POLY HUB: 5 strategies active: ['signal_based', 'tail_end', 'late_entry', 'legged_arb', 'combinatorial']
2026-04-25 06:00:33.418 | INFO     | __main__:main:156 - === POLYMARKET AGENT STARTED (PAPER) === Session: POLY_SESSION_004 Balance: $816.65
2026-04-25 06:00:33.532 | WARNING  | data.polymarket_feed:get_price:209 - POLY FEED: Price error for 985519353905...: PolyApiException[status_code=404, error_message={'error': 'No orderbook exists for the requested token id'}]
2026-04-25 06:00:34.003 | INFO     | agents.poly_monitor:_close_resolved:235 - POLY CLOSE [RESOLVED_LOSS]: "Will Bitcoin dip to $65,000 in April?" YES PnL=$-23.77 (-100.0%)
2026-04-25 06:00:34.241 | INFO     | agents.poly_monitor:_close_resolved:235 - POLY CLOSE [RESOLVED_LOSS]: "Will Bitcoin reach $85,000 in April?" YES PnL=$-23.17 (-100.0%)
2026-04-25 06:00:34.407 | INFO     | agents.poly_monitor:_close_resolved:235 - POLY CLOSE [RESOLVED_LOSS]: "Will Ethereum reach $2,800 in April?" YES PnL=$-22.59 (-100.0%)
2026-04-25 06:00:34.597 | INFO     | agents.poly_monitor:_close_position:259 - POLY CLOSE [STOP_LOSS]: "Will Ethereum reach $2,600 in April?" YES exit@0.065 PnL=$-14.87
2026-04-25 06:00:34.829 | INFO     | agents.poly_monitor:_close_resolved:235 - POLY CLOSE [RESOLVED_LOSS]: "Will Ethereum dip to $2,000 in April?" YES PnL=$-21.48 (-100.0%)
2026-04-25 06:00:34.998 | INFO     | __main__:main:179 - Position closed: RESOLVED_LOSS PnL=$-23.77 (-100.0%)
2026-04-25 06:00:35.756 | INFO     | __main__:main:179 - Position closed: RESOLVED_LOSS PnL=$-23.17 (-100.0%)
2026-04-25 06:00:36.180 | INFO     | __main__:main:179 - Position closed: RESOLVED_LOSS PnL=$-22.59 (-100.0%)
2026-04-25 06:00:36.578 | INFO     | __main__:main:179 - Position closed: STOP_LOSS PnL=$-14.87 (-67.5%)
2026-04-25 06:00:36.987 | INFO     | __main__:main:179 - Position closed: RESOLVED_LOSS PnL=$-21.48 (-100.0%)
2026-04-25 06:00:38.184 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 4 qualifying markets
