2026-04-27 20:52:40.316 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 4 qualifying markets
2026-04-27 20:52:40.357 | INFO     | __main__:main:194 - Cycle 569: Scanned 4 markets, saved 4
2026-04-27 20:52:41.537 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $65,000 @ 20.0% < Threshold $75,000 @ 45.5% [VIOLACIÓN 25.5%] → Buy NO of high market | "Will Bitcoin dip to $75,000 in April?"
2026-04-27 20:52:41.537 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $65,000 @ 20.0% < Threshold $76,000 @ 79.5% [VIOLACIÓN 59.5%] → Buy NO of high market | "Will the price of Bitcoin be above $76,000 on April 28?"
2026-04-27 20:52:41.537 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $65,000 @ 20.0% < Threshold $80,000 @ 27.5% [VIOLACIÓN 7.5%] → Buy NO of high market | "Will Bitcoin reach $80,000 in April?"
2026-04-27 20:52:41.538 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $75,000 @ 45.5% < Threshold $76,000 @ 79.5% [VIOLACIÓN 34.0%] → Buy NO of high market | "Will the price of Bitcoin be above $76,000 on April 28?"
2026-04-27 20:52:41.538 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $76,000 @ 23.0% < Threshold $76,000 @ 79.5% [VIOLACIÓN 56.5%] → Buy NO of high market | "Will the price of Bitcoin be above $76,000 on April 28?"
2026-04-27 20:52:41.538 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $78,000 @ 20.0% < Threshold $80,000 @ 27.5% [VIOLACIÓN 7.5%] → Buy NO of high market | "Will Bitcoin reach $80,000 in April?"
2026-04-27 20:52:41.538 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | ETH | Threshold $2,000 @ 20.1% < Threshold $2,400 @ 40.0% [VIOLACIÓN 20.0%] → Buy NO of high market | "Will the price of Ethereum be above $2,400 on April 28?"
2026-04-27 20:52:41.540 | INFO     | __main__:main:330 - Cycle 569 complete | Evaluated: 0 | Executed: 0 | Open: 4 | Exposure: $71.84 | Balance: $709.27 | PnL: $-218.89 | Next scan in 300s
2026-04-27 20:57:44.161 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 4 qualifying markets
2026-04-27 20:57:44.166 | INFO     | __main__:main:194 - Cycle 570: Scanned 4 markets, saved 4
2026-04-27 20:57:45.205 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $65,000 @ 20.0% < Threshold $75,000 @ 45.5% [VIOLACIÓN 25.5%] → Buy NO of high market | "Will Bitcoin dip to $75,000 in April?"
2026-04-27 20:57:45.206 | INFO     | strategies.poly_combinatorial:_find_monotonicity_violations:213 - SIGNAL_POLY COMBINATORIAL: COMBINATORIAL_ARB | BTC | Threshold $65,000 @ 20.0% < Threshold $76,000 @ 79.5% [VIOLACIÓN 59.5%] → Buy NO of high market | "Will the price of Bitcoin be above $76,000 on April 28?"
