2026-04-29 17:34:46.878 | INFO     | __main__:main:388 - Cycle 283 complete | Evaluated: 0 | Executed: 0 | Open: 2 | Exposure: $36.74 | Balance: $737.49 | PnL: $-225.77 | Next scan in 300s
2026-04-29 17:39:46.930 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 26.3% >= 20% pero aún hay 2 posiciones abiertas. Esperando cierre.
2026-04-29 17:40:01.323 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 2 qualifying markets
2026-04-29 17:40:01.331 | INFO     | __main__:main:252 - Cycle 284: Scanned 2 markets, saved 2
2026-04-29 17:40:21.475 | INFO     | __main__:main:388 - Cycle 284 complete | Evaluated: 0 | Executed: 0 | Open: 2 | Exposure: $36.74 | Balance: $737.49 | PnL: $-225.77 | Next scan in 300s
2026-04-29 17:45:21.480 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 26.3% >= 20% pero aún hay 2 posiciones abiertas. Esperando cierre.
2026-04-29 17:45:35.530 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 2 qualifying markets
2026-04-29 17:45:35.534 | INFO     | __main__:main:252 - Cycle 285: Scanned 2 markets, saved 2
2026-04-29 17:45:54.082 | INFO     | __main__:main:388 - Cycle 285 complete | Evaluated: 0 | Executed: 0 | Open: 2 | Exposure: $36.74 | Balance: $737.49 | PnL: $-225.77 | Next scan in 300s
2026-04-29 17:50:54.086 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 26.3% >= 20% pero aún hay 2 posiciones abiertas. Esperando cierre.
2026-04-29 17:51:03.474 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 2 qualifying markets
2026-04-29 17:51:03.478 | INFO     | __main__:main:252 - Cycle 286: Scanned 2 markets, saved 2
2026-04-29 17:51:30.559 | INFO     | __main__:main:388 - Cycle 286 complete | Evaluated: 0 | Executed: 0 | Open: 2 | Exposure: $36.74 | Balance: $737.49 | PnL: $-225.77 | Next scan in 300s
2026-04-29 17:56:30.562 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 26.3% >= 20% pero aún hay 2 posiciones abiertas. Esperando cierre.
2026-04-29 17:56:37.059 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 3 qualifying markets
2026-04-29 17:56:37.067 | INFO     | __main__:main:252 - Cycle 287: Scanned 3 markets, saved 3
2026-04-29 17:56:51.803 | INFO     | __main__:main:388 - Cycle 287 complete | Evaluated: 0 | Executed: 0 | Open: 2 | Exposure: $36.74 | Balance: $737.49 | PnL: $-225.77 | Next scan in 300s
2026-04-29 18:01:51.808 | WARNING  | __main__:maybe_rollover:125 - POLY DD HALT: 26.3% >= 20% pero aún hay 2 posiciones abiertas. Esperando cierre.
2026-04-29 18:02:05.731 | INFO     | data.polymarket_feed:scan_markets:101 - POLY FEED: Scanned 11 pages, found 3 qualifying markets
