asset,timeframe,strategy,direction,entry,sl,tp,size,risk,rr,entry_bar,entry_time,regime,exit,exit_time,close_reason,pnl,pnl_pct,balance_after,drawdown_pct,bars_open
BTC,15m,TREND_MOMENTUM,SELL,69737.6,70047.75154080534,69091.45095665555,0.1612115157325035,50.0,2.083333333333337,440,2024-04-12 14:15:00+00:00,TREND_DOWN,69091.45095665555,2024-04-12 16:15:00+00:00,TP,104.16666666666686,0.926543275570791,10104.166666666666,0.0,2024-04-12 16:15:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,68973.2,69351.23007961753,68185.63733413015,0.13364236355066686,50.52083333333333,2.0833333333333175,448,2024-04-12 16:15:00+00:00,TREND_DOWN,68185.63733413015,2024-04-12 17:15:00+00:00,TP,105.25173611111029,1.1418386646840304,10209.418402777776,0.0,2024-04-12 17:15:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,68150.8,68657.75567088762,67094.64235231745,0.10069340367474637,51.04709201388888,2.083333333333369,453,2024-04-12 17:30:00+00:00,TREND_DOWN,67094.64235231745,2024-04-12 18:30:00+00:00,TP,106.34810836227032,1.5497362432760255,10315.766511140046,0.0,2024-04-12 18:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,67081.6,67797.66122446884,65589.8057823566,0.07203131630812787,51.57883255570023,2.0833333333333166,461,2024-04-12 19:30:00+00:00,TREND_DOWN,67797.66122446884,2024-04-13 04:45:00+00:00,SL,-51.57883255570024,-1.0674480401016644,10264.187678584345,0.5000000000000027,2024-04-13 04:45:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,62326.2,63368.089925922846,60155.59598766072,0.049257543542773424,51.320938392921725,2.083333333333338,565,2024-04-13 21:30:00+00:00,TREND_DOWN,63368.089925922846,2024-04-13 22:30:00+00:00,SL,-51.320938392921725,-1.6716724682763417,10212.866740191423,0.9975000000000098,2024-04-13 22:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,62185.5,63006.76725886479,60474.52654403168,0.06217748625647338,51.064333700957114,2.08333333333334,587,2024-04-14 03:00:00+00:00,TREND_DOWN,63006.76725886479,2024-04-14 03:30:00+00:00,SL,-51.064333700957114,-1.3206732419370932,10161.802406490466,1.492512500000008,2024-04-14 03:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,64539.3,65054.42717738074,63466.1183804568,0.0986339185030003,50.80901203245233,2.083333333333331,735,2024-04-15 16:00:00+00:00,TREND_DOWN,63466.1183804568,2024-04-15 17:45:00+00:00,TP,105.85210840094224,1.662834303351917,10267.654514891408,0.4663928385416723,2024-04-15 17:45:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,63914.1,64505.57726572779,62681.855696400424,0.08679669625389061,51.338272574457044,2.0833333333333415,742,2024-04-15 17:45:00+00:00,TREND_DOWN,62681.855696400424,2024-04-15 19:00:00+00:00,TP,106.95473453011925,1.9279694208313578,10374.609249421528,0.0,2024-04-15 19:00:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,63023.1,63675.10867112267,61664.74860182777,0.07955882880788909,51.873046247107645,2.083333333333336,747,2024-04-15 19:00:00+00:00,TREND_DOWN,63675.10867112267,2024-04-16 00:15:00+00:00,SL,-51.873046247107645,-1.034555061751435,10322.73620317442,0.5000000000000083,2024-04-16 00:15:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,62794.7,63268.31118598117,61808.0100292059,0.10897901600221914,51.613681015872096,2.0833333333333117,776,2024-04-16 02:15:00+00:00,TREND_DOWN,63268.31118598117,2024-04-16 02:45:00+00:00,SL,-51.613681015872096,-0.7542215919196552,10271.122522158548,0.9975000000000017,2024-04-16 02:45:00+00:00
