asset,timeframe,strategy,direction,entry,sl,tp,size,risk,rr,entry_bar,entry_time,regime,exit,exit_time,close_reason,pnl,pnl_pct,balance_after,drawdown_pct,bars_open
BTC,15m,TREND_MOMENTUM,SELL,67886.2,68264.97572203167,67097.08391243401,0.2640084730447393,100.0,2.083333333333343,250,2024-04-10 13:30:00+00:00,TREND_DOWN,68264.97572203167,2024-04-10 13:45:00+00:00,SL,-100.0,-0.5579568778804391,9900.0,1.0,2024-04-10 13:45:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,69716.1,70062.54127939155,68994.34733460097,0.28576271330562925,99.0,2.0833333333333157,449,2024-04-12 15:15:00+00:00,TREND_DOWN,68994.34733460097,2024-04-12 16:15:00+00:00,TP,206.2499999999983,1.0352740118839627,10106.249999999998,0.0,2024-04-12 16:15:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,68973.2,69351.23007961753,68185.63733413015,0.2673398373543443,101.06249999999999,2.0833333333333175,453,2024-04-12 16:15:00+00:00,TREND_DOWN,68185.63733413015,2024-04-12 17:15:00+00:00,TP,210.54687499999835,1.1418386646840306,10316.796874999996,0.0,2024-04-12 17:15:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,68150.8,68657.75567088762,67094.64235231745,0.203504911128354,103.16796874999997,2.083333333333369,458,2024-04-12 17:30:00+00:00,TREND_DOWN,67094.64235231745,2024-04-12 18:30:00+00:00,TP,214.9332682291703,1.5497362432760253,10531.730143229166,0.0,2024-04-12 18:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,67081.6,67797.66122446884,65589.8057823566,0.14707862656634452,105.31730143229166,2.0833333333333166,466,2024-04-12 19:30:00+00:00,TREND_DOWN,67797.66122446884,2024-04-13 04:45:00+00:00,SL,-105.31730143229164,-1.0674480401016646,10426.412841796875,0.9999999999999943,2024-04-13 04:45:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,62326.2,63368.089925922846,60155.59598766072,0.10007211493634251,104.26412841796875,2.083333333333338,570,2024-04-13 21:30:00+00:00,TREND_DOWN,63368.089925922846,2024-04-13 22:30:00+00:00,SL,-104.26412841796875,-1.6716724682763417,10322.148713378907,1.9899999999999882,2024-04-13 22:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,62185.5,63006.76725886479,60474.52654403168,0.1256856230655883,103.22148713378907,2.08333333333334,592,2024-04-14 03:00:00+00:00,TREND_DOWN,63006.76725886479,2024-04-14 03:30:00+00:00,SL,-103.22148713378907,-1.3206732419370932,10218.927226245118,2.9700999999999893,2024-04-14 03:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,63708.7,64280.561670769996,62517.32151922917,0.1786957886596171,102.18927226245118,2.0833333333333313,746,2024-04-15 17:30:00+00:00,TREND_DOWN,62517.32151922917,2024-04-15 19:00:00+00:00,TP,212.89431721343973,1.8700404823373085,10431.821543458558,0.9486437499999846,2024-04-15 19:00:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,63023.1,63675.10867112267,61664.74860182777,0.15999513511831687,104.31821543458558,2.083333333333336,752,2024-04-15 19:00:00+00:00,TREND_DOWN,63675.10867112267,2024-04-16 00:15:00+00:00,SL,-104.31821543458558,-1.034555061751435,10327.503328023973,1.939157312499979,2024-04-16 00:15:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,62794.7,63268.31118598117,61808.0100292059,0.21805868682405952,103.27503328023974,2.0833333333333117,781,2024-04-16 02:15:00+00:00,TREND_DOWN,63268.31118598117,2024-04-16 02:45:00+00:00,SL,-103.27503328023974,-0.7542215919196553,10224.228294743734,2.919765739374971,2024-04-16 02:45:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,62957.7,63397.07616980248,62042.33297957816,0.23269874420681338,102.24228294743735,2.0833333333333264,787,2024-04-16 03:45:00+00:00,TREND_DOWN,62042.33297957816,2024-04-16 04:30:00+00:00,TP,213.00475614049375,1.4539397411624568,10437.233050884228,0.8972608589452917,2024-04-16 04:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,62058.6,62557.556255785465,61019.10780044695,0.20918132461239003,104.37233050884228,2.083333333333316,790,2024-04-16 04:30:00+00:00,TREND_DOWN,62557.556255785465,2024-04-16 05:00:00+00:00,SL,-104.37233050884228,-0.804008237029946,10332.860720375385,1.88828825035584,2024-04-16 05:00:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,62277.4,62615.705974933226,61572.595885555784,0.3054294480732986,103.32860720375386,2.0833333333333353,918,2024-04-17 12:30:00+00:00,TREND_DOWN,62615.705974933226,2024-04-17 13:30:00+00:00,SL,-103.32860720375385,-0.5432243075870608,10229.532113171632,2.869405367852279,2024-04-17 13:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,61290.3,61868.47131347176,60085.77643026718,0.17692908442216107,102.29532113171632,2.083333333333327,927,2024-04-17 14:45:00+00:00,TREND_DOWN,60085.77643026718,2024-04-17 15:30:00+00:00,TP,213.1152523577417,1.9652760220341952,10442.647365529374,0.8458513130158706,2024-04-17 15:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,60955.7,61659.9237531752,59488.56718088499,0.14828592927241627,104.42647365529375,2.0833333333333366,932,2024-04-17 16:00:00+00:00,TREND_DOWN,61659.9237531752,2024-04-17 18:00:00+00:00,SL,-104.42647365529375,-1.1553041851298624,10338.22089187408,1.8373927998857156,2024-04-17 18:00:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,65020.7,65376.02200434984,64280.445824271155,0.2909535791567595,103.3822089187408,2.0833333333333335,1600,2024-04-24 15:00:00+00:00,TREND_DOWN,64280.445824271155,2024-04-24 18:45:00+00:00,TP,215.37960191404335,1.1384900127633844,10553.600493788123,0.0,2024-04-24 18:45:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,64125.6,64479.52936875158,63388.247148434195,0.29818380235056297,105.53600493788123,2.0833333333333557,1615,2024-04-24 18:45:00+00:00,TREND_DOWN,64479.52936875158,2024-04-24 19:30:00+00:00,SL,-105.53600493788122,-0.5519314731582736,10448.064488850241,1.000000000000002,2024-04-24 19:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,64200.0,64584.60313640389,63398.74346582522,0.27165832776460086,104.48064488850241,2.083333333333346,1622,2024-04-24 20:30:00+00:00,TREND_DOWN,64584.60313640389,2024-04-25 00:30:00+00:00,SL,-104.48064488850241,-0.5990703059250678,10343.583843961738,1.9900000000000064,2024-04-25 00:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,64106.5,64366.29037169006,63565.27005897904,0.3981511622879527,103.43583843961738,2.083333333333324,1657,2024-04-25 05:15:00+00:00,TREND_DOWN,64366.29037169006,2024-04-25 05:45:00+00:00,SL,-103.43583843961738,-0.4052480976033037,10240.14800552212,2.9701000000000146,2024-04-25 05:45:00+00:00
