asset,timeframe,strategy,direction,entry,sl,tp,grid_level,level_idx,size,risk,rr,entry_bar,entry_time,regime,range_pct,exit,exit_time,close_reason,pnl,pnl_pct,balance_after,drawdown_pct
BTC,15m,GRID_BOT,SELL,85228.0,85540.49688333,85251.07857,85437.1332,6,0.0640006383003833,20.0,1.8,194,2025-04-19 07:30:00+00:00,RANGE,0.010681,85251.07857,2025-04-19 07:45:00+00:00,TP,-1.4770432110599396,-0.02707862439573597,9998.52295678894,0.01477043211059936
BTC,15m,GRID_BOT,SELL,84945.8,85235.00025,84966.02595,85138.938,6,0.06914601876581458,19.99704591357788,1.8,340,2025-04-20 20:00:00+00:00,RANGE,0.009679,84966.02595,2025-04-20 20:15:00+00:00,TP,-1.3985439182559252,-0.02381041793707604,9997.124412870684,0.028755871293160453
BTC,15m,GRID_BOT,SELL,87706.9,88016.68936667,87683.92458,87897.8448,6,0.06454143032946423,19.99424882574137,1.8,455,2025-04-22 00:45:00+00:00,RANGE,0.012435,87683.92458,2025-04-22 01:00:00+00:00,TP,1.4828664692194005,0.02619568129758085,9998.607279339903,0.013927206600965292
BTC,15m,GRID_BOT,SELL,92774.6,93110.0293,92761.62726,92985.6,6,0.05961677932929673,19.997214558679808,1.8,695,2025-04-24 12:45:00+00:00,RANGE,0.012263,92761.62726,2025-04-24 13:00:00+00:00,TP,0.7733929778770552,0.01398307295317035,9999.38067231778,0.006193276822195912
BTC,15m,GRID_BOT,SELL,93518.4,93885.75631667,93437.25423,93725.577,6,0.05443968277425982,19.99876134463556,1.8,709,2025-04-24 16:15:00+00:00,RANGE,0.016862,93437.25423,2025-04-24 16:45:00+00:00,TP,4.41754997727241,0.08676984422315637,10003.798222295052,0.0
BTC,15m,GRID_BOT,SELL,93458.3,93827.3277,93324.43062,93647.7216,6,0.05419311706041585,19.99876134463556,1.8,708,2025-04-24 16:00:00+00:00,RANGE,0.019471,93324.43062,2025-04-24 17:00:00+00:00,TP,7.254798981145495,0.14323969085678182,10011.053021276197,0.0
BTC,15m,GRID_BOT,SELL,94430.4,94727.75965,94446.40767,94627.2768,6,0.06733296209674552,20.022106042552394,1.8,1011,2025-04-27 19:45:00+00:00,RANGE,0.008863,94446.40767,2025-04-27 20:00:00+00:00,TP,-1.0778438373676364,-0.016951818482190406,10009.97517743883,0.010766538096207706
BTC,15m,GRID_BOT,SELL,94556.8,94938.07711667,94437.61431,94759.3404,6,0.05250761055299666,20.01995035487766,1.8,1054,2025-04-28 06:30:00+00:00,RANGE,0.019074,94437.61431,2025-04-28 06:45:00+00:00,TP,6.258155794010106,0.1260466619005703,10016.23333323284,0.0
BTC,15m,GRID_BOT,SELL,94399.4,94758.20976667,94296.48762,94593.309,6,0.05579544431211059,20.01995035487766,1.8,1052,2025-04-28 06:00:00+00:00,RANGE,0.017289,94758.20976667,2025-04-28 07:45:00+00:00,SL,-20.01995035487766,-0.3800975076854356,9996.213382877962,0.19987503973627777
BTC,15m,GRID_BOT,SELL,95202.2,95578.59828333,95107.75509,95410.44,6,0.05311508487467823,19.992426765755926,1.8,1070,2025-04-28 10:30:00+00:00,RANGE,0.017528,95107.75509,2025-04-28 10:45:00+00:00,TP,5.016449410630872,0.09920454569326241,10001.229832288593,0.14979184734512047
BTC,15m,GRID_BOT,SELL,94979.8,95343.05135,94894.86837,95182.986,6,0.05506506628145404,20.002459664577184,1.8,1120,2025-04-28 23:00:00+00:00,RANGE,0.016521,94894.86837,2025-04-29 00:00:00+00:00,TP,4.676765835342284,0.08942072946037623,10005.906598123935,0.10309998544704639
BTC,15m,GRID_BOT,SELL,95199.3,95503.2677,95185.27422,95389.6986,6,0.06583532788598355,20.01181319624787,1.8,1168,2025-04-29 11:00:00+00:00,RANGE,0.010444,95185.27422,2025-04-29 11:15:00+00:00,TP,0.9233918251564269,0.014733070516270921,10006.82998994909,0.09388103262880498
BTC,15m,GRID_BOT,SELL,95445.6,95749.37926667,95445.35676,95640.7998,6,0.06588224469459768,20.013659979898183,1.8,1190,2025-04-29 16:30:00+00:00,RANGE,0.009764,95445.35676,2025-04-29 16:45:00+00:00,TP,0.016025197200218937,0.0002548467399342671,10006.846015146291,0.09372104037754704
BTC,15m,GRID_BOT,SELL,95420.5,95750.79041667,95446.46397,95642.1024,6,0.06059422562746805,20.01369203029258,1.8,1198,2025-04-29 18:30:00+00:00,RANGE,0.009778,95446.46397,2025-04-29 18:45:00+00:00,TP,-1.5732666563646336,-0.027210054443224527,10005.272748489926,0.10942820897100859
BTC,15m,GRID_BOT,SELL,94710.0,95113.85683333,94599.56562,94930.1814,6,0.04954861189789129,20.01054549697985,1.8,1301,2025-04-30 20:15:00+00:00,RANGE,0.019683,94599.56562,2025-04-30 20:30:00+00:00,TP,5.471870234804548,0.11660266075388666,10010.74461872473,0.05479818935426765
BTC,15m,GRID_BOT,SELL,94932.9,95265.69621667,94898.31657,95134.4892,6,0.0601614087978128,20.021489237449458,1.8,1325,2025-05-01 02:15:00+00:00,RANGE,0.012769,94898.31657,2025-05-01 02:30:00+00:00,TP,2.0805878698604694,0.03642934114516545,10012.82520659459,0.03402603079284575
BTC,15m,GRID_BOT,SELL,95145.5,95469.36798333,95197.19571,95372.1636,6,0.06183275730835217,20.025650413189183,1.8,1349,2025-05-01 08:15:00+00:00,RANGE,0.008341,95197.19571,2025-05-01 08:30:00+00:00,TP,-3.1964882903129523,-0.054333321071411644,10009.628718304279,0.06593910813407039
BTC,15m,GRID_BOT,SELL,97176.9,97472.67486667,97188.97644,97371.354,6,0.06768410602968469,20.01925743660856,1.8,1463,2025-05-02 12:45:00+00:00,RANGE,0.008602,97188.97644,2025-05-02 13:00:00+00:00,TP,-0.817383045421421,-0.012427274383114062,10008.811335258857,0.07409969124179012
BTC,15m,GRID_BOT,SELL,94763.2,95123.88518333,94736.66427,94985.592,6,0.05549887712521572,20.017622670517714,1.8,1727,2025-05-05 06:45:00+00:00,RANGE,0.013719,94736.66427,2025-05-05 07:00:00+00:00,TP,1.4727032186980804,0.02800214640282646,10010.284038477555,0.05939652719096783
BTC,15m,GRID_BOT,SELL,94676.5,94993.96756667,94656.28878,94873.368,6,0.06306334939016194,20.02056807695511,1.8,1772,2025-05-05 18:00:00+00:00,RANGE,0.011436,94656.28878,2025-05-05 18:15:00+00:00,TP,1.2745872284612654,0.021347662830794766,10011.558625706017,0.04667131217194102
BTC,15m,GRID_BOT,SELL,94849.2,95223.55081667,94836.42333,95085.291,6,0.053487574648628786,20.023117251412035,1.8,1774,2025-05-05 18:30:00+00:00,RANGE,0.013696,94836.42333,2025-05-05 18:45:00+00:00,TP,0.6833930903854686,0.013470508976345621,10012.242018796402,0.03984845703619357
BTC,15m,GRID_BOT,SELL,95188.3,95553.14578333,95097.45759,95390.4,6,0.05488478955362169,20.024484037592803,1.8,1790,2025-05-05 22:30:00+00:00,RANGE,0.016826,95097.45759,2025-05-05 22:45:00+00:00,TP,4.98586655539368,0.09543442839088152,10017.227885351795,0.0
BTC,15m,GRID_BOT,SELL,94814.8,95155.54503333,94732.42182,95004.4296,6,0.05879603166893796,20.03445577070359,1.8,1860,2025-05-06 16:00:00+00:00,RANGE,0.015389,94732.42182,2025-05-06 16:15:00+00:00,TP,4.843510080109454,0.08688325029425756,10022.071395431904,0.0
BTC,15m,GRID_BOT,SELL,94922.7,95272.77903333,94824.40542,95112.6456,6,0.05725605044152625,20.04414279086381,1.8,1869,2025-05-06 18:15:00+00:00,RANGE,0.016546,94824.40542,2025-05-06 18:30:00+00:00,TP,5.627959430608728,0.10355223776820675,10027.699354862512,0.0
BTC,15m,GRID_BOT,SELL,97054.9,97377.74878333,97085.45571,97273.3584,6,0.062120100013588246,20.055398709725026,1.8,1934,2025-05-07 10:30:00+00:00,RANGE,0.009002,97085.45571,2025-05-07 10:45:00+00:00,TP,-1.8981237611862323,-0.03148291327897978,10025.801231101326,0.01892880604029732
BTC,15m,GRID_BOT,SELL,97767.1,98199.83443333,97635.55314,97998.3054,6,0.046336970016230494,20.051602462202652,1.8,1991,2025-05-08 00:45:00+00:00,RANGE,0.021209,98199.83443333,2025-05-08 01:00:00+00:00,SL,-20.051602462202652,-0.44261764267324977,10005.749628639123,0.21889094842821957
BTC,15m,GRID_BOT,SELL,99792.3,100137.51268333,99749.67381,99998.9988,6,0.05796860956626169,20.011499257278246,1.8,2027,2025-05-08 09:45:00+00:00,RANGE,0.012843,99749.67381,2025-05-08 10:00:00+00:00,TP,2.4709809654078656,0.042714908865724065,10008.220609604532,0.1942493942893784
