asset,timeframe,strategy,direction,entry,sl,tp,grid_level,level_idx,size,risk,rr,entry_bar,entry_time,regime,range_pct,exit,exit_time,close_reason,pnl,pnl_pct,balance_after,drawdown_pct
BTC,15m,GRID_BOT,SELL,85162.9,85352.77226667,84846.60666667,85226.23086667,5,0.10533397188942648,20.0,3.0,189,2025-04-19 07:15:00+00:00,RANGE,0.010982,85352.77226667,2025-04-19 08:30:00+00:00,SL,-20.0,-0.22295185658309552,9980.0,0.2
BTC,15m,GRID_BOT,SELL,85170.0,85347.51874667,84898.96242667,85235.37966667,4,0.11243882899367648,19.96,3.0,205,2025-04-19 11:15:00+00:00,RANGE,0.009228,85347.51874667,2025-04-19 13:15:00+00:00,SL,-19.96,-0.20842872686392022,9960.04,0.3995999999999913
BTC,15m,GRID_BOT,SELL,85107.6,85317.40472,84792.86824,85186.2706,3,0.09494581437443349,19.920080000000002,3.0,253,2025-04-19 23:15:00+00:00,RANGE,0.011459,85317.40472,2025-04-20 01:15:00+00:00,SL,-19.920080000000002,-0.2465170208066026,9940.119920000001,0.59880079999999
BTC,15m,GRID_BOT,SELL,85322.1,85535.96158667,85011.42510667,85404.82746667,4,0.09314473117950778,19.920080000000002,3.0,244,2025-04-19 21:00:00+00:00,RANGE,0.011459,85011.42510667,2025-04-20 06:30:00+00:00,TP,28.937729423446164,0.36412007361517285,9969.057649423446,0.30942350576553507
BTC,15m,GRID_BOT,SELL,84388.3,84595.13988,84053.44596,84459.7164,3,0.096393960868895,19.938115298846892,3.0,317,2025-04-20 15:15:00+00:00,RANGE,0.012107,84595.13988,2025-04-20 16:15:00+00:00,SL,-19.938115298846892,-0.24510492568282513,9949.1195341246,0.5088046587539975
BTC,15m,GRID_BOT,SELL,84578.7,84765.71092,84344.37724,84660.3775,5,0.10640148216076972,19.8982390682492,3.0,327,2025-04-20 17:45:00+00:00,RANGE,0.00853,84765.71092,2025-04-20 20:00:00+00:00,SL,-19.8982390682492,-0.2211087661550729,9929.221295056352,0.7077870494364834
BTC,15m,GRID_BOT,SELL,87383.8,87614.15947333,87007.94531333,87462.60593333,4,0.08620632050875027,19.858442590112706,3.0,390,2025-04-21 09:30:00+00:00,RANGE,0.013468,87007.94531333,2025-04-21 11:15:00+00:00,TP,32.40104958379039,0.43011941191617364,9961.622344640142,0.3837765535985818
BTC,15m,GRID_BOT,SELL,86921.9,87120.23512,86521.96504,86970.6676,2,0.10045242965179312,19.923244689280285,3.0,398,2025-04-21 11:30:00+00:00,RANGE,0.013236,87120.23512,2025-04-21 12:00:00+00:00,SL,-19.923244689280285,-0.22817623636851403,9941.699099950862,0.5830090004913836
BTC,15m,GRID_BOT,SELL,86923.0,87120.23512,86521.96504,86970.6676,2,0.10081063757763815,19.883398199901723,3.0,404,2025-04-21 13:00:00+00:00,RANGE,0.013236,87120.23512,2025-04-21 13:15:00+00:00,SL,-19.883398199901723,-0.22690786098040508,9921.81570175096,0.7818429824903979
BTC,15m,GRID_BOT,SELL,86963.3,87272.54868667,86303.09740667,87030.18586667,2,0.06416722934923143,19.84363140350192,3.0,422,2025-04-21 17:30:00+00:00,RANGE,0.024005,87272.54868667,2025-04-21 19:15:00+00:00,SL,-19.84363140350192,-0.35560827000584266,9901.972070347458,0.980279296525423
BTC,15m,GRID_BOT,SELL,87370.5,87676.48672,86707.03544,87434.1239,3,0.06472158053360899,19.803944140694917,3.0,435,2025-04-21 20:45:00+00:00,RANGE,0.024005,87676.48672,2025-04-22 00:00:00+00:00,SL,-19.803944140694917,-0.35021743036837466,9882.168126206763,1.178318737932368
BTC,15m,GRID_BOT,SELL,88617.9,88794.1862,88326.767,88677.3314,5,0.11211505070966005,19.76433625241353,3.0,495,2025-04-22 11:45:00+00:00,RANGE,0.009279,88794.1862,2025-04-22 12:15:00+00:00,SL,-19.76433625241353,-0.1989284331946506,9862.40378995435,1.3759621004565088
BTC,15m,GRID_BOT,SELL,90931.7,91371.58906667,89952.21986667,91016.74676667,5,0.04484041335518329,19.7248075799087,3.0,517,2025-04-22 17:15:00+00:00,RANGE,0.036143,91371.58906667,2025-04-22 17:30:00+00:00,SL,-19.7248075799087,-0.48375766280626303,9842.67898237444,1.5732101762555974
BTC,15m,GRID_BOT,SELL,91210.2,91634.35634667,90205.02402667,91277.02326667,5,0.046410617498231756,19.68535796474888,3.0,526,2025-04-22 19:30:00+00:00,RANGE,0.036315,91634.35634667,2025-04-22 21:15:00+00:00,SL,-19.68535796474888,-0.4650317033292359,9822.993624409692,1.7700637559030836
BTC,15m,GRID_BOT,SELL,93709.9,93946.99548,93191.86476,93758.2128,3,0.08286107878909833,19.645987248819385,3.0,593,2025-04-23 12:15:00+00:00,RANGE,0.016267,93946.99548,2025-04-23 13:00:00+00:00,SL,-19.645987248819385,-0.2530100661723079,9803.347637160872,1.9665236283912781
BTC,15m,GRID_BOT,SELL,93217.5,93541.69392,92580.89424,93301.494,2,0.06047829420835971,19.606695274321744,3.0,602,2025-04-23 14:30:00+00:00,RANGE,0.021872,92580.89424,2025-04-23 15:00:00+00:00,TP,38.500830448016785,0.6829251589025728,9841.848467608888,1.581515323911117
BTC,15m,GRID_BOT,SELL,93771.8,94170.20199333,92914.27375333,93856.21993333,4,0.04940662261926377,19.683696935217778,3.0,613,2025-04-23 17:15:00+00:00,RANGE,0.030088,94170.20199333,2025-04-23 18:00:00+00:00,SL,-19.683696935217778,-0.42486333133202153,9822.164770673671,1.7783522932632876
BTC,15m,GRID_BOT,SELL,93275.8,93646.89856,92390.97032,93332.9165,3,0.052935612418834016,19.644329541347343,3.0,620,2025-04-23 19:00:00+00:00,RANGE,0.030088,93646.89856,2025-04-23 20:15:00+00:00,SL,-19.644329541347343,-0.3978508466290276,9802.520441132325,1.974795588676752
BTC,15m,GRID_BOT,SELL,93275.1,93646.89856,92390.97032,93332.9165,3,0.052730276530024434,19.60504088226465,3.0,632,2025-04-23 22:00:00+00:00,RANGE,0.030088,93646.89856,2025-04-23 22:30:00+00:00,SL,-19.60504088226465,-0.39860430061184127,9782.91540025006,2.1708459974994003
