asset,timeframe,strategy,direction,entry,sl,tp,size,risk,rr,entry_bar,entry_time,regime,exit,exit_time,close_reason,pnl,pnl_pct,balance_after,drawdown_pct,bars_open
BTC,15m,TREND_MOMENTUM,SELL,60885.6,61382.78803449362,59814.733464167584,0.20113114769917673,100.0,2.1538461538461506,250,2024-05-10 16:30:00+00:00,TREND_DOWN,61382.78803449362,2024-05-11 15:15:00+00:00,SL,-100.0,-0.8165937996728647,9900.0,1.0,2024-05-11 15:15:00+00:00
BTC,15m,BTC_MICROSTRUCTURE,SELL,60914.1,61130.945564716836,60447.048014456035,0.4565461144168511,99.0,2.1538461538461795,493,2024-05-13 05:15:00+00:00,TREND_DOWN,61130.945564716836,2024-05-13 06:00:00+00:00,SL,-99.0,-0.35598583040188975,9801.0,1.9900000000000002,2024-05-13 06:00:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,62008.6,62329.00425395806,61318.49852993648,0.3058948150321017,98.01,2.153846153846159,594,2024-05-14 06:30:00+00:00,TREND_DOWN,61318.49852993648,2024-05-14 12:30:00+00:00,TP,211.0984615384621,1.1129125154632107,10012.098461538462,0.0,2024-05-14 12:30:00+00:00
BTC,15m,BTC_MICROSTRUCTURE,SELL,61503.1,61883.33762205793,60684.12666018292,0.26331162096351035,100.12098461538463,2.153846153846142,633,2024-05-14 16:15:00+00:00,TREND_DOWN,61883.33762205793,2024-05-15 02:00:00+00:00,SL,-100.12098461538463,-0.6182413928044794,9911.977476923077,1.0000000000000053,2024-05-15 02:00:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,64734.6,65133.416558803336,63875.61048873127,0.2485347525856075,99.11977476923077,2.1538461538461635,830,2024-05-16 17:30:00+00:00,TREND_DOWN,65133.416558803336,2024-05-16 18:00:00+00:00,SL,-99.11977476923077,-0.616079436349861,9812.857702153846,1.9900000000000104,2024-05-16 18:00:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,66258.5,66508.96807619023,65719.03029743643,0.3917807750757468,98.12857702153846,2.1538461538461626,1124,2024-05-19 19:00:00+00:00,TREND_DOWN,66508.96807619023,2024-05-20 01:00:00+00:00,SL,-98.12857702153846,-0.37801652043168393,9714.729125132308,2.9701000000000075,2024-05-20 01:00:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,69671.4,70085.30879405767,68779.90413587578,0.23470699981742132,97.14729125132308,2.153846153846143,1307,2024-05-21 16:45:00+00:00,TREND_DOWN,70085.30879405767,2024-05-21 22:30:00+00:00,SL,-97.14729125132308,-0.5940870917731981,9617.581833880984,3.940399000000013,2024-05-21 22:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,69385.9,69755.4555066664,68589.93429333388,0.26024728790099166,96.17581833880985,2.153846153846166,1424,2024-05-22 22:00:00+00:00,TREND_DOWN,69755.4555066664,2024-05-23 07:30:00+00:00,SL,-96.17581833880983,-0.5326089402406097,9521.406015542174,4.900995010000016,2024-05-23 07:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,68119.1,68586.86131403415,67111.61409284954,0.20355266093782196,95.21406015542173,2.1538461538461586,1492,2024-05-23 15:00:00+00:00,TREND_DOWN,67111.61409284954,2024-05-23 18:00:00+00:00,TP,205.07643725783188,1.479006485920192,9726.482452800006,2.85270874867693,2024-05-23 18:00:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,67163.1,67576.1382767533,66273.47909622366,0.23548622489071216,97.26482452800006,2.15384615384617,1504,2024-05-23 18:00:00+00:00,TREND_DOWN,67576.1382767533,2024-05-23 19:30:00+00:00,SL,-97.26482452800006,-0.6149779815900414,9629.217628272007,3.824181661190157,2024-05-23 19:30:00+00:00
BTC,15m,BTC_MICROSTRUCTURE,SELL,67679.7,67937.53181322278,67124.36994075091,0.37346894892103977,96.29217628272006,2.1538461538461755,1546,2024-05-24 04:30:00+00:00,TREND_DOWN,67124.36994075091,2024-05-24 05:30:00+00:00,TP,207.3985335320145,0.8205267742751299,9836.61616180402,1.752702496969622,2024-05-24 05:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,67219.5,67482.23319517399,66653.6131180868,0.3743956356671979,98.36616161804021,2.1538461538461284,1550,2024-05-24 05:30:00+00:00,TREND_DOWN,67482.23319517399,2024-05-24 06:00:00+00:00,SL,-98.36616161804021,-0.390858597838411,9738.25000018598,2.7351754719999217,2024-05-24 06:00:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,67087.9,67405.11082894396,66404.6766761207,0.30699613984194307,97.38250000185981,2.1538461538461258,1556,2024-05-24 07:00:00+00:00,TREND_DOWN,67405.11082894396,2024-05-24 09:45:00+00:00,SL,-97.38250000185981,-0.4728286754302398,9640.86750018412,3.7078237172799295,2024-05-24 09:45:00+00:00
BTC,15m,BTC_MICROSTRUCTURE,SELL,68736.8,68910.85522939009,68361.91181362137,0.5538970322217381,96.4086750018412,2.153846153846128,1792,2024-05-26 18:00:00+00:00,TREND_DOWN,68910.85522939009,2024-05-26 19:00:00+00:00,SL,-96.40867500184122,-0.2532198609625174,9544.458825182279,4.670745480107132,2024-05-26 19:00:00+00:00
BTC,15m,BTC_MICROSTRUCTURE,SELL,68721.7,68846.01632432838,68453.94176298502,0.7677558741176154,95.4445882518228,2.153846153846217,1803,2024-05-26 20:45:00+00:00,TREND_DOWN,68453.94176298502,2024-05-26 21:30:00+00:00,TP,205.57295931162434,0.3896269111721272,9750.031784493904,2.6174999981401443,2024-05-26 21:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,68524.6,68695.74886193551,68155.97168198506,0.5696813682680465,97.50031784493903,2.1538461538461995,1807,2024-05-26 21:45:00+00:00,TREND_DOWN,68695.74886193551,2024-05-26 22:30:00+00:00,SL,-97.50031784493903,-0.24976265740406764,9652.531466648965,3.5913249981587403,2024-05-26 22:30:00+00:00
BTC,15m,BTC_MICROSTRUCTURE,SELL,68467.6,68628.95744846854,68120.0608802216,0.5982079884295556,96.52531466648965,2.153846153846251,1814,2024-05-26 23:30:00+00:00,TREND_DOWN,68628.95744846854,2024-05-27 00:00:00+00:00,SL,-96.52531466648965,-0.2356697890221619,9556.006151982476,4.555411748177147,2024-05-27 00:00:00+00:00
BTC,15m,BTC_MICROSTRUCTURE,SELL,68425.6,68617.31683285108,68012.67143693616,0.49844377303090465,95.56006151982476,2.1538461538461307,1864,2024-05-27 12:00:00+00:00,TREND_DOWN,68617.31683285108,2024-05-27 12:30:00+00:00,SL,-95.56006151982476,-0.2801829035493649,9460.44609046265,5.509857630695382,2024-05-27 12:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,68655.1,68929.08156748346,68064.98585465104,0.34529498379609025,94.6044609046265,2.1538461538461253,1922,2024-05-28 02:30:00+00:00,TREND_DOWN,68064.98585465104,2024-05-28 03:30:00+00:00,TP,203.76345425611592,0.8595343176966737,9664.209544718766,3.4746853335103918,2024-05-28 03:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,68049.2,68385.32825346189,67325.23145408205,0.28751553745285935,96.64209544718766,2.153846153846207,1927,2024-05-28 03:45:00+00:00,TREND_DOWN,68385.32825346189,2024-05-28 09:30:00+00:00,SL,-96.64209544718766,-0.4939488685567133,9567.567449271579,4.439938480175281,2024-05-28 09:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,67474.2,67874.29409565931,66612.45887088763,0.2391329328043513,95.67567449271579,2.1538461538461764,1986,2024-05-28 18:30:00+00:00,TREND_DOWN,67874.29409565931,2024-05-28 18:45:00+00:00,SL,-95.67567449271579,-0.5929586355367107,9471.891774778864,5.395539095373522,2024-05-28 18:45:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,67775.5,68039.66041218929,67206.5391122077,0.35856590683965217,94.71891774778864,2.153846153846107,2045,2024-05-29 09:15:00+00:00,TREND_DOWN,68039.66041218929,2024-05-29 13:00:00+00:00,SL,-94.71891774778864,-0.38975796886675684,9377.172857031075,6.341583704419785,2024-05-29 13:00:00+00:00
BTC,15m,BTC_MICROSTRUCTURE,SELL,67636.3,67959.51907542044,66940.135837556,0.29011817587911537,93.77172857031076,2.15384615384614,2067,2024-05-29 14:45:00+00:00,TREND_DOWN,67959.51907542044,2024-05-30 02:00:00+00:00,SL,-93.77172857031077,-0.4778781148886542,9283.401128460764,7.27816786737559,2024-05-30 02:00:00+00:00
BTC,15m,BTC_MICROSTRUCTURE,SELL,68201.4,68393.3273047523,67788.0181128412,0.4836936120392957,92.83401128460764,2.1538461538461364,2240,2024-05-31 10:00:00+00:00,TREND_DOWN,68393.3273047523,2024-05-31 11:00:00+00:00,SL,-92.83401128460764,-0.2814125586165417,9190.567117176157,8.20538618870183,2024-05-31 11:00:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,67313.4,67657.20496437524,66572.89699980716,0.26731920913000895,91.90567117176157,2.1538461538461604,2260,2024-05-31 15:00:00+00:00,TREND_DOWN,67657.20496437524,2024-05-31 19:30:00+00:00,SL,-91.90567117176155,-0.5107526352483244,9098.661446004395,9.123332326814818,2024-05-31 19:30:00+00:00
BTC,15m,BTC_MICROSTRUCTURE,SELL,67441.7,67665.05592324655,66960.62570377666,0.40736154715543194,90.98661446004395,2.153846153846149,2292,2024-05-31 23:00:00+00:00,TREND_DOWN,67665.05592324655,2024-06-01 00:00:00+00:00,SL,-90.98661446004395,-0.33118370866474106,9007.674831544351,10.032099003546668,2024-06-01 00:00:00+00:00
BTC,15m,BTC_MICROSTRUCTURE,SELL,67621.6,67732.06963712083,67383.66539697054,0.8153982457362631,90.07674831544351,2.1538461538461235,2437,2024-06-02 11:15:00+00:00,TREND_DOWN,67732.06963712083,2024-06-02 11:45:00+00:00,SL,-90.07674831544351,-0.16336442367649762,8917.598083228908,10.931778013511197,2024-06-02 11:45:00+00:00
BTC,15m,BTC_MICROSTRUCTURE,SELL,70746.4,70996.519078259,70207.68198528829,0.35653410148882025,89.17598083228908,2.1538461538460867,2862,2024-06-06 21:30:00+00:00,TREND_DOWN,70996.519078259,2024-06-07 03:30:00+00:00,SL,-89.17598083228908,-0.35354318842939425,8828.422102396618,11.82246023337609,2024-06-07 03:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,69218.4,69727.4129041033,68122.06451423903,0.17344200964706472,88.28422102396618,2.1538461538461493,2946,2024-06-07 18:30:00+00:00,TREND_DOWN,69727.4129041033,2024-06-09 12:45:00+00:00,SL,-88.28422102396618,-0.7353722479908622,8740.137881372651,12.704235631042335,2024-06-09 12:45:00+00:00
BTC,15m,BTC_MICROSTRUCTURE,SELL,69371.4,69503.80947435074,69086.21036293684,0.6600840252730362,87.40137881372651,2.1538461538462723,3198,2024-06-10 09:30:00+00:00,TREND_DOWN,69503.80947435074,2024-06-10 11:30:00+00:00,SL,-87.40137881372651,-0.19087040819522869,8652.736502558924,13.577193274731918,2024-06-10 11:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,68336.7,68629.70169064621,67705.61943553123,0.2953135349995908,86.52736502558925,2.1538461538461577,3268,2024-06-11 03:00:00+00:00,TREND_DOWN,67705.61943553123,2024-06-11 04:15:00+00:00,TP,186.36663236280796,0.9234870347394071,8839.103134921732,11.715778976033837,2024-06-11 04:15:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,67952.5,68297.13878648529,67210.20107526246,0.2564744155776867,88.39103134921731,2.1538461538461378,3273,2024-06-11 04:15:00+00:00,TREND_DOWN,67210.20107526246,2024-06-11 09:30:00+00:00,TP,190.3806829060051,1.092379124737923,9029.483817827737,9.81427267705612,2024-06-11 09:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,67074.8,67384.96026727864,66406.76250124602,0.29112316342298933,90.29483817827737,2.153846153846125,3295,2024-06-11 09:45:00+00:00,TREND_DOWN,66406.76250124602,2024-06-11 15:30:00+00:00,TP,194.481189922441,0.9959589872112679,9223.965007750177,7.8718108577927435,2024-06-11 15:30:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,66155.1,66567.47160982028,65266.91499423328,0.22368089335176022,92.23965007750178,2.1538461538461227,3318,2024-06-11 15:30:00+00:00,TREND_DOWN,66567.47160982028,2024-06-11 16:00:00+00:00,SL,-92.23965007750178,-0.6233406189700738,9131.725357672676,8.79309274921481,2024-06-11 16:00:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,66294.2,66713.58743207344,65390.903992457184,0.2177396044637182,91.31725357672677,2.1538461538461644,3325,2024-06-11 17:15:00+00:00,TREND_DOWN,66713.58743207344,2024-06-11 17:45:00+00:00,SL,-91.31725357672677,-0.6326155713070626,9040.40810409595,9.705161821722657,2024-06-11 17:45:00+00:00
BTC,15m,TREND_MOMENTUM,SELL,67910.2,68188.34392356302,67311.1207800181,0.3250262665561162,90.4040810409595,2.1538461538461497,3456,2024-06-13 02:00:00+00:00,TREND_DOWN,67311.1207800181,2024-06-13 03:30:00+00:00,TP,194.71648224206626,0.882163828087529,9235.124586338015,7.760349922498233,2024-06-13 03:30:00+00:00
