asset,timeframe,strategy,direction,entry,sl,tp,size,risk,rr,entry_bar,entry_time,regime,exit,exit_time,close_reason,pnl,pnl_pct,balance_after,drawdown_pct,bars_open
PAXG,15m,SMC_ORDER_BLOCKS,SELL,2328.89,2333.109419261955,2320.45116147609,23.699943947657786,100.0,2.0,512,2024-05-13 10:45:00+00:00,TREND_DOWN,2333.109419261955,2024-05-13 12:15:00+00:00,SL,-100.0,-0.18117726736578174,9900.0,1.0,2024-05-13 12:15:00+00:00
PAXG,15m,BTC_MICROSTRUCTURE,SELL,2325.64,2331.5057232139234,2315.863794643461,16.877714203255128,99.0,1.666666666666615,528,2024-05-13 14:45:00+00:00,TREND_DOWN,2331.5057232139234,2024-05-14 01:15:00+00:00,SL,-99.0,-0.25221974226120564,9801.0,1.9900000000000002,2024-05-14 01:15:00+00:00
PAXG,15m,BTC_MICROSTRUCTURE,SELL,2366.51,2370.9974583720546,2359.0309027132425,21.840871128823768,98.01,1.666666666666768,810,2024-05-16 13:15:00+00:00,TREND_DOWN,2359.0309027132425,2024-05-16 13:30:00+00:00,TP,163.35000000000994,0.3160391161143489,9964.35000000001,0.3564999999999054,2024-05-16 13:30:00+00:00
PAXG,15m,BTC_MICROSTRUCTURE,SELL,2360.71,2365.499133039679,2352.728111600535,20.806166622317132,99.6435000000001,1.66666666666673,813,2024-05-16 14:00:00+00:00,TREND_DOWN,2352.728111600535,2024-05-16 14:45:00+00:00,TP,166.07250000000647,0.3381138894427896,10130.422500000015,0.0,2024-05-16 14:45:00+00:00
PAXG,15m,BTC_MICROSTRUCTURE,SELL,2361.75,2367.875395059534,2351.5410082341095,16.53839858742172,101.30422500000016,1.6666666666666914,818,2024-05-16 15:15:00+00:00,TREND_DOWN,2367.875395059534,2024-05-17 06:45:00+00:00,SL,-101.30422500000014,-0.2593583173296998,10029.118275000015,0.9999999999999971,2024-05-17 06:45:00+00:00
PAXG,15m,BTC_MICROSTRUCTURE,SELL,2379.36,2382.3487355831508,2374.3787740280827,33.55639197907111,100.29118275000016,1.6666666666665653,1057,2024-05-19 03:00:00+00:00,TREND_DOWN,2382.3487355831508,2024-05-19 04:15:00+00:00,SL,-100.29118275000016,-0.1256109030642958,9928.827092250016,1.9899999999999887,2024-05-19 04:15:00+00:00
PAXG,15m,BTC_MICROSTRUCTURE,SELL,2396.26,2402.929717127283,2385.1438047878623,14.88642906853712,99.28827092250016,1.6666666666666894,1198,2024-05-20 14:15:00+00:00,TREND_DOWN,2402.929717127283,2024-05-20 15:00:00+00:00,SL,-99.28827092250016,-0.27833862466020537,9829.538821327516,2.9700999999999826,2024-05-20 15:00:00+00:00
PAXG,15m,BTC_MICROSTRUCTURE,SELL,2396.81,2402.1609361045435,2387.8917731590936,18.36975555170843,98.29538821327516,1.6666666666667516,1381,2024-05-22 12:00:00+00:00,TREND_DOWN,2387.8917731590936,2024-05-22 14:00:00+00:00,TP,163.82564702213364,0.3720873511419887,9993.36446834965,1.3529349999999052,2024-05-22 14:00:00+00:00
PAXG,15m,TREND_MOMENTUM,SELL,2382.72,2388.01007577749,2373.903207037516,18.890777540224754,99.9336446834965,1.666666666666724,1392,2024-05-22 14:45:00+00:00,TREND_DOWN,2388.01007577749,2024-05-22 17:15:00+00:00,SL,-99.9336446834965,-0.22201835622692026,9893.430823666153,2.339405649999909,2024-05-22 17:15:00+00:00
PAXG,15m,TREND_MOMENTUM,SELL,2369.77,2375.9325772096463,2359.4990379839223,16.05404766074154,98.93430823666154,1.6666666666667405,1407,2024-05-22 18:30:00+00:00,TREND_DOWN,2375.9325772096463,2024-05-22 20:00:00+00:00,SL,-98.93430823666155,-0.2600495917176061,9794.496515429491,3.3160115934999084,2024-05-22 20:00:00+00:00
